,,,Salary,Salary,Salary,Salary,Salary,Salary,,
288,Kai Jones\joneska01,CHO,$2770560,$2909160,$3047760,$4693550,,,1st Round Pick,$5679720
289,Brandon Clarke\clarkbr01,MEM,$2726880,$4343920,,,,,1st Round Pick,$7070800
290,Precious Achiuwa\achiupr01,TOR,$2711280,$2840160,$4379527,,,,1st Round Pick,$5551440
291,Jalen Johnson\johnsja05,ATL,$2659560,$2792520,$2925480,$4511090,,,1st Round Pick,$5452080
292,Paul Millsap\millspa01,PHI,$2641691,,,,,,Minimum Salary,$2641691
293,E'Twaun Moore\mooreet01,ORL,$2641691,,,,,,,$2641691
294,Udonis Haslem\hasleud01,MIA,$2641691,,,,,,Minimum Salary,$2641691
295,Markieff Morris\morrima02,MIA,$2641691,,,,,,Minimum Salary,$2641691
296,DeAndre Jordan\jordade01,LAL,$11109327,$7827907,,,,,,$2641691
297,Dwight Howard\howardw01,LAL,$2641691,,,,,,Minimum Salary,$2641691
298,Wayne Ellington\ellinwa01,LAL,$2641691,,,,,,Minimum Salary,$2641691
299,Trevor Ariza\arizatr01,LAL,$2641691,,,,,,Minimum Salary,$2641691
300,Carmelo Anthony\anthoca01,LAL,$2641691,,,,,,Minimum Salary,$2641691
301,Enes Freedom\kanteen01,HOU,$2641691,,,,,,,$2641691
302,Andre Iguodala\iguodan01,GSW,$2641691,,,,,,Minimum Salary,$2641691
303,Rajon Rondo\rondora01,CLE,$2641691,,,,,,Minimum Salary,$2641691
304,James Johnson\johnsja01,BRK,$2641691,,,,,,Minimum Salary,$2641691
305,Blake Griffin\griffbl01,BRK,$32405817,,,,,,Minimum Salary,$2641691
306,LaMarcus Aldridge\aldrila01,BRK,$2641691,,,,,,Minimum Salary,$2641691
307,Avery Bradley\bradlav01,LAL,$2641691,,,,,,,
308,Ed Davis\davised01,CLE,$2641691,,,,,,,
309,Grant Williams\willigr01,BOS,$2617800,$4306281,,,,,1st Round Pick,$6924081
310,Tyrese Maxey\maxeyty01,PHI,$2602920,$2726880,$4343920,,,,1st Round Pick,$5329800
311,Keon Johnson\johnske07,POR,$2553120,$2681040,$2808720,$4474291,,,1st Round Pick,$5234160
312,Darius Bazley\bazleda01,OKC,$2513040,$4264629,,,,,1st Round Pick,$6777669
313,Trey Lyles\lylestr01,SAC,$2500000,$2625000,,,,,Cap Space,$2500000
314,Zeke Nnaji\nnajize01,DEN,$2498760,$2617800,$4306281,,,,1st Round Pick,$5116560
315,Isaiah Jackson\jacksis01,IND,$2451120,$2573760,$2696280,$4435381,,,1st Round Pick,$5024880
316,Ty Jerome\jeromty01,OKC,$2412840,$4220057,,,,,1st Round Pick,$6632897
317,Hassan Whiteside\whiteha01,UTA,$2401537,,,,,,Minimum Salary,$2401537
318,Kent Bazemore\bazemke01,LAL,$2401537,,,,,,Minimum Salary,$2401537
319,Austin Rivers\riverau01,DEN,$2401537,,,,,,Minimum Salary,$2401537
320,Andre Drummond\drumman01,BRK,$2401537,,,,,,Minimum Salary,$2401537
321,Cory Joseph\josepco01,DET,$7310000,$5155000,,,,,,$7310000
322,Cody Zeller\zelleco01,POR,$2389641,,,,,,,$2389641
323,Ben McLemore\mclembe01,POR,$2389641,,,,,,Minimum Salary,$2389641
324,Solomon Hill\hillso01,NYK,$2389641,,,,,,,$2389641
325,Tony Snell\snellto01,NOP,$2389641,,,,,,Minimum Salary,$2389641
326,Victor Oladipo\oladivi01,MIA,$2389641,,,,,,Minimum Salary,$2389641
327,Dewayne Dedmon\dedmode01,MIA,$5256308,$2866667,$2866667,$2866667,,,Minimum Salary,$2389641
328,Otto Porter Jr.\porteot01,GSW,$2389641,,,,,,Minimum Salary,$2389641
329,Leandro Bolmaro\bolmale01,MIN,$2353320,$2471160,$2588400,$4392515,,,1st Round Pick,$4824480
330,Usman Garuba\garubus01,HOU,$2353320,$2471160,$2588400,$4392515,,,1st Round Pick,$4824480
331,Willy Hernangómez\hernawi01,NOP,$2327220,$2443581,$2559942,,,,Non Bird,$4770801
332,Nassir Little\littlna01,POR,$2316240,$4171548,,,,,1st Round Pick,$6487788
333,R.J. Hampton\hamptrj01,ORL,$2303040,$2412840,$4220057,,,,1st Round Pick,$4715880
334,Josh Christopher\chrisjo01,HOU,$2259240,$2372160,$2485200,$4346615,,,1st Round Pick,$4631400
335,Monta Ellis\ellismo01,IND,$2245400,,,,,,,$2245400
336,Elfrid Payton\paytoel01,PHO,$2239544,,,,,,Minimum Salary,$2239544
337,Rodney Hood\hoodro01,LAC,$2239544,,,,,,Minimum Salary,$2239544
338,Dylan Windler\windldy01,CLE,$2239200,$4037278,,,,,1st Round Pick,$6276478
339,Immanuel Quickley\quickim01,NYK,$2210640,$2316240,$4171548,,,,1st Round Pick,$4526880
340,John Konchar\konchjo01,MEM,$2197674,$2302326,$2406977,,,,MLE,$6906977
341,Quentin Grimes\grimequ01,NYK,$2168760,$2277000,$2385720,$4296682,,,1st Round Pick,$4445760
342,Jordan Poole\poolejo01,GSW,$2161440,$3901399,,,,,1st Round Pick,$6062839
343,Bol Bol\bolbo01,ORL,$2161152,,,,,,MLE,$2161152
344,Keldon Johnson\johnske04,SAS,$2145720,$3873025,,,,,1st Round Pick,$6018745
345,Payton Pritchard\pritcpa01,BOS,$2137440,$2239200,$4037278,,,,1st Round Pick,$4376640
346,Kevin Porter Jr.\porteke02,HOU,$2130240,$3845083,,,,,1st Round Pick,$5975323
347,Bones Hyland\hylanbo01,DEN,$2096880,$2201400,$2306400,$4158439,,,1st Round Pick,$4298280
348,Raul Neto\netora01,WAS,$2089448,,,,,,Minimum Salary,$2089448
349,Frank Kaminsky\kaminfr01,PHO,$2089448,,,,,,Minimum Salary,$2089448
350,Nemanja Bjelica\bjeline01,GSW,$2089448,,,,,,Minimum Salary,$2089448
351,Udoka Azubuike\azubuud01,UTA,$2075880,$2174880,$3923484,,,,1st Round Pick,$4250760
352,Jaden McDaniels\mcdanja02,MIN,$2063280,$2161440,$3901399,,,,1st Round Pick,$4224720
353,Malachi Flynn\flynnma01,TOR,$2048040,$2145720,$3873025,,,,1st Round Pick,$4193760
354,Cam Thomas\thomaca02,BRK,$2036280,$2138160,$2240040,$4041032,,,1st Round Pick,$4174440
355,Desmond Bane\banede01,MEM,$2033160,$2130240,$3845083,,,,1st Round Pick,$4163400
356,Jaden Springer\sprinja01,PHI,$2023800,$2125200,$2226360,$4018580,,,1st Round Pick,$4149000
357,Day'Ron Sharpe\sharpda01,BRK,$2009040,$2109360,$2210160,$3989339,,,1st Round Pick,$4118400
358,Jeremiah Robinson-Earl\robinje02,OKC,$2000000,$2000000,$1900000,$1988598,,,MLE,$4000000
359,Killian Tillie\tilliki02,MEM,$2000000,$2000000,,,,,Room Exception,$4000000
360,Abdel Nader\naderab01,PHO,$2000000,,,,,,,$2000000
361,Théo Maledon\maledth01,OKC,$2000000,$1900000,$1930681,,,,MLE,$2000000
362,Kenrich Williams\willike04,OKC,$2000000,$2000000,,,,,,
363,Santi Aldama\aldamsa01,MEM,$1994520,$2094240,$2194200,$3960531,,,1st Round Pick,$4088760
364,Damian Jones\jonesda03,SAC,$1977011,,,,,,,
365,Wesley Matthews\matthwe02,MIL,$1958501,,,,,,,
366,Rodney McGruder\mcgruro01,DET,$1939350,,,,,,Minimum Salary,$1939350
367,DeAndre' Bembry\bembrde01,BRK,$2541217,,,,,,,$1939350
368,Gary Payton II\paytoga02,GSW,$1939350,,,,,,Minimum Salary,$350000
369,Timothé Luwawu-Cabarrot\luwawti01,ATL,$1939350,,,,,,,
370,PJ Dozier\doziepj01,ORL,$1910860,,,,,,,$1910860
371,Damion Lee\leeda03,GSW,$1910860,,,,,,,
372,Larry Sanders\sandela01,MIL,$1865547,,,,,,,$1865547
373,Shake Milton\miltosh01,PHI,$1846738,$1997718,,,,,Cap Space,$1846738
374,Mitchell Robinson\robinmi01,NYK,$1802057,,,,,,MLE,$1802057
375,Jalen Brunson\brunsja01,DAL,$1802057,,,,,,,
376,Dennis Smith Jr.\smithde03,POR,$1789256,,,,,,,$1789256
377,Malik Monk\monkma01,LAL,$1789256,,,,,,Minimum Salary,$1789256
378,Semi Ojeleye\ojelese01,LAC,$1789256,,,,,,Minimum Salary,$1789256
379,Frank Ntilikina\ntilila01,DAL,$1789256,$2036318,,,,,Minimum Salary,$1789256
380,Tony Bradley\bradlto01,CHI,$1789256,$2036318,,,,,Minimum Salary,$1789256
381,Didi Louzada\louzama01,POR,$1786878,$1876222,$1965566,$2057646,,,Non Bird,$3663100
382,Daniel Gafford\gaffoda01,WAS,$1782621,$1930681,$12402000,$13394160,$14386320,,Minimum Salary,$43895782
383,Terance Mann\mannte01,LAC,$1782621,$1930681,$10576923,$11423077,,,Minimum Salary,$25713302
384,Eric Paschall\pascher01,UTA,$1782621,,,,,,MLE,$1782621
385,KZ Okpala\okpalkz01,OKC,$1782621,,,,,,,$1782621
386,Bruno Fernando\fernabr01,HOU,$1782621,,,,,,Cap space,$1782621
387,Cody Martin\martico01,CHO,$1782621,,,,,,MLE,$1782621
388,Nic Claxton\claxtni01,BRK,$1782621,,,,,,Minimum Salary,$1782621
389,Luguentz Dort\dortlu01,OKC,$1782621,$1930681,,,,,Minimum Salary,$625000
390,Isaiah Roby\robyis01,OKC,$1782621,$1930681,,,,,,
391,Naz Reid\reidna01,MIN,$1782621,$1930681,,,,,,
392,Jaylen Nowell\nowelja01,MIN,$1782621,$1930681,,,,,,
393,Vlatko Čančar\cancavl01,DEN,$1782621,,,,,,,
394,Dean Wade\wadede01,CLE,$1782621,$1930681,,,,,,
395,Jalen McDaniels\mcdanja01,CHO,$1782621,$1930681,,,,,,
396,Drew Eubanks\eubandr01,TOR,$1862176,,,,,,,$1762796
397,Chimezie Metu\metuch01,SAC,$1762796,$1910860,,,,,,
398,Yuta Watanabe\watanyu01,TOR,$1762769,,,,,,,
399,Svi Mykhailiuk\mykhasv01,TOR,$1729217,$1878720,,,,,Minimum Salary,$1729217
400,Keita Bates-Diop\bateske01,SAS,$1729217,$1878720,,,,,Minimum Salary,$1729217
401,Moritz Wagner\wagnemo01,ORL,$1729217,$1878720,,,,,Minimum Salary,$1729217
402,Thanasis Antetokounmpo\antetth01,MIL,$1729217,$1878720,,,,,Minimum Salary,$1729217
403,Isaac Bonga\bongais01,TOR,$1729217,,,,,,,
404,Isaiah Hartenstein\harteis01,LAC,$3430810,,,,,,,
405,Juan Toscano-Anderson\toscaju01,GSW,$1701593,,,,,,Minimum Salary,$1701593
406,Moses Brown\brownmo01,DAL,$1797523,,,,,,,$1701593
407,Oshae Brissett\brissos01,IND,$1701593,$1846738,,,,,,
408,Isaiah Hartenstein\harteis01,CLE,$3430810,,,,,,,
409,Herbert Jones\joneshe01,NOP,$1700000,$1785000,$1836096,,,,MLE,$3485000
410,Gabriel Deck\deckga01,OKC,$1690507,,,,,,Cap Space,$1690507
411,Jordan McLaughlin\mclaujo01,MIN,$1669178,$1815677,$1968182,,,,Early Bird,$5453037
412,Javonte Green\greenja02,CHI,$1669178,$1815677,,,,,Minimum Salary,$3484855
413,Max Strus\strusma01,MIA,$1669178,$1815677,,,,,Minimum Salary,$1669178
414,Gabe Vincent\vincega01,MIA,$1669178,$1815677,,,,,Minimum Salary,$1669178
415,Kevin Pangos\pangoke01,CLE,$1669178,,,,,,,$1669178
416,Matt Thomas\thomama02,CHI,$1669178,,,,,,Minimum Salary,$1669178
417,Xavier Sneed\sneedxa01,HOU,$1563518,,,,,,,$1563518
418,Vernon Carey Jr.\careyve01,WAS,$1517981,$1782621,$1930681,,,,Cap Space,$3300602
419,Xavier Tillman Sr.\tillmxa01,MEM,$1517981,$1782621,$1930681,,,,MLE,$3300602
420,Tyrell Terry\terryty01,DAL,$1517981,$1782621,,,,,,$3300602
421,Tre Jones\jonestr01,SAS,$1517981,$1782621,,,,,MLE,$1517981
422,Robert Woodard II\woodaro01,SAC,$1517981,,,,,,,$1517981
423,Jahmi'us Ramsey\ramseja01,SAC,$1517981,,,,,,,$1517981
424,CJ Elleby\ellebcj01,POR,$1517981,,,,,,Minimum Salary,$1517981
425,Elijah Hughes\hugheel01,POR,$1517981,,,,,,Minimum Salary,$1517981
426,Isaiah Joe\joeis01,PHI,$1517981,$1782621,,,,,MLE,$1517981
427,Naji Marshall\marshna01,NOP,$1517981,$1782621,$1930681,,,,MLE,$1517981
428,Jordan Nwora\nworajo01,MIL,$1517981,,,,,,Minimum Salary,$1517981
429,Nick Richards\richani01,CHO,$1517981,$1782621,,,,,Cap Space,$1517981
430,Anthony Gill\gillan01,WAS,$1517981,,,,,,,
431,Paul Reed\reedpa01,PHI,$1517981,$1782621,,,,,,
432,Kenyon Martin Jr.\martike04,HOU,$1517981,$1782621,$1930681,,,,,
433,Jae'Sean Tate\tateja01,HOU,$1517981,$1782621,,,,,,
434,Lamar Stevens\stevela01,CLE,$1517981,$1782621,$1930681,,,,,
435,Isaiah Todd\toddis01,WAS,$1500000,$1563518,$1836096,$1988598,,,MLE,$4899614
436,Saben Lee\leesa01,DET,$1489065,$1752638,$1902137,,,,Cap Space,$3241703
437,Omer Yurtseven\yurtsom01,MIA,$1489065,$1752638,,,,,Minimum Salary,$1489065
438,Armoni Brooks\brookar01,HOU,$1489065,,,,,,,$1489065
439,J.R. Smith\smithjr01,CLE,$1456666,,,,,,,$1456666
440,Danuel House Jr.\houseda01,HOU,$2045094,,,,,,,$1387498
441,Bismack Biyombo\biyombi01,PHO,$1366392,,,,,,Minimum Salary,$1518213
442,George Hill\hillge01,PHI,$4000000,$4000000,,,,,,$1275491
443,DeMarre Carroll\carrode01,SAS,$1252127,,,,,,,$1252127
444,JT Thor\thorjt01,CHO,$1250000,$1563518,$1836096,$1988598,,,Cap Space,$2813518
445,Garrison Mathews\mathega01,HOU,$1093598,$1815677,$1968182,$2230253,,,Cap Space,$1093598
446,Alfonzo McKinnie\mckinal01,CHI,$1090007,,,,,,,$1292183
447,Jabari Parker\parkeja01,BOS,$1068288,,,,,,,$1168288
448,Jason Preston\prestja01,LAC,$1062303,$1563518,$1836096,,,,Mini MLE,$2625821
449,Isaiah Livers\liveris01,DET,$1057260,$1563518,$1836096,,,,Cap Space,$2620778
450,Guerschon Yabusele\yabusgu01,BOS,$1039080,,,,,,,$1039080
451,Aaron Wiggins\wiggiaa01,OKC,$1000000,$1563518,$1836096,$1988598,,,Cap Space,$1000000
452,Tristan Thompson\thomptr01,CHI,$10720900,,,,,,Bi-Annual Exception,$1000000
453,Kyle Singler\singlky01,OKC,$999200,$999200,,,,,,$1998400
454,Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,,Minimum Salary,$3486820
455,Jared Butler\butleja02,UTA,$925258,$1563518,,,,,Minimum Salary,$2488776
456,Greg Brown III\browngr01,POR,$925258,$1563518,$1836096,,,,Mini MLE,$2488776
457,Miles McBride\mcbrimi01,NYK,$925258,$1563518,$1836096,,,,Cap Space,$2488776
458,Brandon Boston Jr.\bostobr01,LAC,$925258,$1563518,$1836096,,,,Mini MLE,$2488776
459,Marko Simonovic\simonma01,CHI,$925258,$1563518,$1836096,,,,MLE,$2488776
460,Vit Krejci\krejcvi01,OKC,$925258,$1563518,$1836096,$1988598,,,MLE,$1707017
461,Charles Bassey\bassech01,PHI,$925258,$1563518,$1836096,,,,MLE,$1000000
462,Dalano Banton\bantoda01,TOR,$925258,$1563518,,,,,Minimum Salary,$925258
463,Jock Landale\landajo01,SAS,$925258,$1563518,,,,,Minimum Salary,$925258
464,Ayo Dosunmu\dosunay01,CHI,$925258,$1563518,,,,,Minimum Salary,$925258
465,Austin Reaves\reaveau01,LAL,$925258,,,,,,,
466,Luka Garza\garzalu01,DET,$925258,,,,,,,
467,Lance Stephenson\stephla01,IND,$924730,,,,,,Minimum Salary,$1476806
468,Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,,Minimum Salary,$1248865
469,Miye Oni\onimi01,OKC,$850331,,,,,,,$850331
470,Wayne Selden\seldewa01,NYK,$785102,,,,,,,$785102
471,Goran Dragić\dragigo01,BRK,$20168742,,,,,,Minimum Salary,$728742
472,Brad Wanamaker\wanambr01,IND,$705598,,,,,,,$705598
473,Alize Johnson\johnsal02,CHI,$804978,,,,,,,$705598
474,DeMarcus Cousins\couside01,DEN,$1290481,,,,,,Minimum Salary,$1138659
475,Shaun Livingston\livinsh01,GSW,$666666,,,,,,,$666666
476,Sam Merrill\merrisa01,MEM,$663024,,,,,,Minimum Salary,$663024
477,Danuel House Jr.\houseda01,UTA,$2045094,,,,,,Minimum Salary,$991967
478,D.J. Augustin\augusdj01,LAL,$7622467,$333333,,,,,Minimum Salary,$622467
479,DeMarcus Cousins\couside01,MIL,$1290481,,,,,,,$607285
480,Luke Kornet\kornelu01,BOS,$606702,,,,,,Minimum Salary,$606702
481,DeAndre' Bembry\bembrde01,MIL,$2541217,,,,,,Minimum Salary,$601867
482,DeAndre Jordan\jordade01,PHI,$11109327,$7827907,,,,,Minimum Salary,$592103
483,Ryan Arcidiacono\arcidry01,NYK,$586136,,,,,,Minimum Salary,$791798
484,Keifer Sykes\sykeske01,IND,$558345,$1563518,,,,,,
485,Caleb Martin\martica02,MIA,$527614,,,,,,Minimum Salary,$527614
486,Tomáš Satoranský\satorto01,WAS,$10468119,,,,,,Minimum Salary,$468119
487,Georgios Kalaitzakis\kalaige01,MIL,$462629,,,,,,,$462629
488,Jevon Carter\carteje01,MIL,$4107149,$3925000,,,,,Minimum Salary,$457149
489,Gary Clark\clarkga01,NOP,$377645,,,,,,,$377645
490,Devontae Cacok\cacokde01,SAS,$364533,,,,,,Minimum Salary,$364533
491,Sam Dekker\dekkesa01,TOR,$350000,,,,,,,$350000
492,Sam Hauser\hausesa01,BOS,$313737,$1563518,,,,,Minimum Salary,$313737
493,Admiral Schofield\schofad01,OKC,,,,,,,,$300000
494,Daishen Nix\nixda01,HOU,$292466,$1563518,$1836096,$1988598,,,Minimum Salary,$5680678
495,Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,,MLE,$547701
496,Trendon Watford\watfotr01,POR,$260561,$1563518,$1836096,$1988598,,,MLE,$5648773
497,Ish Wainright\wainris01,TOR,,,,,,,,$375000
498,Joe Wieskamp\wieskjo01,SAS,$202068,,,,,,Minimum Salary,$202068
499,Bismack Biyombo\biyombi01,PHO,$1366392,,,,,,,$1518213
500,DeMarcus Cousins\couside01,DEN,$1290481,,,,,,,$1138659
501,DeMarcus Cousins\couside01,DEN,$1290481,,,,,,,$1138659
502,DeMarcus Cousins\couside01,DEN,$1290481,,,,,,,$1138659
503,Lance Stephenson\stephla01,IND,$924730,,,,,,,$1476806
504,Lance Stephenson\stephla01,IND,$924730,,,,,,,$1476806
505,Lance Stephenson\stephla01,IND,$924730,,,,,,,$1476806
506,Lance Stephenson\stephla01,IND,$924730,,,,,,,$1476806
507,Isaiah Thomas\thomais02,CHO,$138019,,,,,,,$276038
508,Isaiah Thomas\thomais02,CHO,$138019,,,,,,Minimum Salary,$276038
509,Isaiah Thomas\thomais02,DAL,$138019,,,,,,,$138019
510,Brandon Knight\knighbr03,DAL,,,,,,,,$138019
511,Lance Stephenson\stephla01,ATL,$924730,,,,,,,$138019
512,Isaiah Thomas\thomais02,LAL,$138019,,,,,,,$135680
513,Troy Williams\willitr02,HOU,$122741,$122741,,,,,,$245482
514,Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,,,$1248865
515,Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,,,$1248865
516,Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,,,$1248865
517,Stanley Johnson\johnsst04,CHI,$888616,$2351521,,,,,,$120083
518,Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,,,$3486820
519,Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,,,$3486820
520,Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,,,$3486820
521,Danuel House Jr.\houseda01,UTA,$2045094,,,,,,,$991967
522,Danuel House Jr.\houseda01,UTA,$2045094,,,,,,,$991967
523,Danuel House Jr.\houseda01,UTA,$2045094,,,,,,,$991967
524,Kris Dunn\dunnkr01,POR,$111457,,,,,,Minimum Salary,$111457
525,Danuel House Jr.\houseda01,NYK,$2045094,,,,,,,$111457
526,Nik Stauskas\stausni01,MIA,,,,,,,,$111457
527,Ryan Arcidiacono\arcidry01,NYK,$586136,,,,,,,$791798
528,Ryan Arcidiacono\arcidry01,NYK,$586136,,,,,,,$791798
529,Luke Kornet\kornelu01,MIL,$606702,,,,,,,$102831
530,Luke Kornet\kornelu01,CLE,$606702,,,,,,,$102831
531,Alfonzo McKinnie\mckinal01,CHI,$1090007,,,,,,,$1292183
532,Alfonzo McKinnie\mckinal01,CHI,$1090007,,,,,,,$1292183
533,Jabari Parker\parkeja01,BOS,$1068288,,,,,,,$1168288
534,Drew Eubanks\eubandr01,POR,$1862176,,,,,,,$298140
535,Drew Eubanks\eubandr01,POR,$1862176,,,,,,,$298140
536,Drew Eubanks\eubandr01,POR,$1862176,,,,,,Minimum Salary,$298140
537,Alize Johnson\johnsal02,NOP,$804978,,,,,,,$198760
538,Alize Johnson\johnsal02,NOP,$804978,,,,,,Minimum Salary,$198760
539,Wenyen Gabriel\gabriwe01,LAC,,,,,,,,$198760
540,Wenyen Gabriel\gabriwe01,LAC,,,,,,,,$198760
541,Theo Pinson\pinsoth01,DAL,,,,,,,,$197076
542,Brad Wanamaker\wanambr01,WAS,$705598,,,,,,,$99380
543,Alize Johnson\johnsal02,WAS,$804978,,,,,,,$99380
544,Wenyen Gabriel\gabriwe01,NOP,,,,,,,,$99380
545,Brandon Goodwin\goodwbr01,CLE,,,,,,,,$99380
546,Wenyen Gabriel\gabriwe01,BRK,,,,,,,,$99380
547,Theo Pinson\pinsoth01,DAL,,,,,,,,$197076
548,Davon Reed\reedda01,DEN,,,,,,,,$286164
549,Davon Reed\reedda01,DEN,,,,,,,,$286164
550,Kyle Guy\guyky01,MIA,,,,,,,,$191860
551,Kyle Guy\guyky01,MIA,,,,,,,,$191860
552,Kelan Martin\martike03,BOS,,,,,,,,$191860
553,Kelan Martin\martike03,BOS,,,,,,,,$191860
554,Charlie Brown Jr.\brownch02,PHI,,,,,,,,$95930
555,Miye Oni\onimi01,NOP,$850331,,,,,,,$95930
556,Quinndary Weatherspoon\weathqu01,GSW,,,,,,,,$95930
557,Charlie Brown Jr.\brownch02,DAL,,,,,,,,$95930
558,Moses Brown\brownmo01,CLE,$1797523,,,,,,Minimum Salary,$95930
559,Tyrone Wallace\wallaty01,ATL,$95930,,,,,,Minimum Salary,$95930
560,Davon Reed\reedda01,DEN,,,,,,,,$286164
561,Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857,,,,,$278571
562,Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,,,$547701
563,Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,,,$547701
564,Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,,,$547701
565,Admiral Schofield\schofad01,ORL,,,,,,,,$169706
566,Armoni Brooks\brookar01,TOR,$1489065,,,,,,,$85578
567,Emanuel Terry\terryem01,PHO,$85578,,,,,,Minimum Salary,$85578
568,Tyrell Terry\terryty01,MEM,$1517981,$1782621,,,,,,$85578
569,Admiral Schofield\schofad01,ORL,,,,,,,,$169706
570,Olivier Sarr\sarrol01,OKC,,,,,,,,$106352
571,Olivier Sarr\sarrol01,OKC,,,,,,,,$106352
572,Jordan Schakel\schakjo01,WAS,,,,,,,,$53176
573,Brandon Williams\willibr03,POR,,,,,,,,$53176
574,Xavier Sneed\sneedxa01,MEM,$1563518,,,,,,,$53176
575,Moses Wright\wrighmo01,LAC,,,,,,,,$53176
576,Malcolm Hill\hillma01,CHI,,,,,,,,$53176
577,Malcolm Hill\hillma01,ATL,,,,,,,,$53176
