,,,Salary,Salary,Salary,Salary,Salary,Salary,,
26,Pascal Siakam\siakapa01,TOR,$31320000,$33640000,$35960000,,,,1st Round pick,$100920000
27,Kevin Love\loveke01,CLE,$31300000,$28900000,,,,,Bird Rights,$60200000
28,CJ McCollum\mccolcj01,NOP,$30864198,$33333333,$35802469,,,,1st Round Pick,$100000000
29,Chris Paul\paulch01,PHO,$30800000,$28400000,$30800000,$30000000,,,Bird,$75000000
30,Nikola Jokić\jokicni01,DEN,$30510423,$32478837,,,,,Bird Rights,$62989260
31,Jrue Holiday\holidjr01,MIL,$30133333,$32393333,$34653333,$36913333,,,Bird,$97179999
32,D'Angelo Russell\russeda01,MIN,$30013500,$31377750,,,,,Sign and Trade,$61391250
33,Gordon Hayward\haywago01,CHO,$29900000,$30100000,$31500000,,,,Sign and Trade,$91500000
34,Blake Griffin\griffbl01,DET,$32405817,,,,,,,$29764126
35,Brandon Ingram\ingrabr01,NOP,$29467800,$31650600,$33833400,$36016200,,,Bird,$130968000
36,De'Aaron Fox\foxde01,SAC,$28103550,$30351834,$32600118,$34848402,$37096686,,Bird,$163000590
37,Bam Adebayo\adebaba01,MIA,$28103550,$30351834,$32600118,$34848402,$37096686,,Bird,$163000590
38,Donovan Mitchell\mitchdo01,UTA,$28103550,$30351834,$32600118,$34848402,$37096686,,Bird,$125903904
39,Jayson Tatum\tatumja01,BOS,$28103550,$30351834,$32600118,$34848402,$37096686,,Bird,$125903904
40,Al Horford\horfoal01,BOS,$27000000,$26500000,,,,,Cap Space,$41500000
41,Kyle Lowry\lowryky01,MIA,$26984128,$28333334,$29682540,,,,Bird,$85000002
42,Kemba Walker\walkeke02,OKC,$8729020,$9165471,,,,,,$53669500
43,DeMar DeRozan\derozde01,CHI,$26000000,$27300000,$28600000,,,,Sign and Trade,$81900000
44,Jaylen Brown\brownja02,BOS,$24830357,$26669643,$28508929,,,,1st Round pick,$80008929
45,Draymond Green\greendr01,GSW,$24026712,$25806469,$27586225,,,,Bird Rights,$49833181
46,Nikola Vučević\vucevni01,CHI,$24000000,$22000000,,,,,Bird Rights,$46000000
47,John Collins\collijo01,ATL,$23000000,$23500000,$25340000,$26580000,$26580000,,Bird,$125000000
48,Buddy Hield\hieldbu01,IND,$22477273,$20522727,$18568182,,,,1st Round pick,$61568182
49,Malcolm Brogdon\brogdma01,IND,$21700000,$22600000,$21634615,$23365385,,,Sign and Trade,$89300000
50,Tim Hardaway Jr.\hardati02,DAL,$21306816,$19602273,$17897728,$16193183,,,Bird,$75000000
51,Mike Conley\conlemi01,UTA,$21000000,$22680000,$24360000,,,,Bird,$58000000
52,Gary Harris\harriga01,ORL,$20482143,,,,,,1st Round Pick,$20482143
53,Danilo Gallinari\gallida01,ATL,$20475000,$21450000,,,,,Sign and Trade,$25475000
54,Harrison Barnes\barneha02,SAC,$20284091,$18352273,,,,,Bird Rights,$38636364
55,Jarrett Allen\allenja01,CLE,$20000000,$20000000,$20000000,$20000000,$20000000,,Bird,$100000000
56,Jerami Grant\grantje01,DET,$20000000,$20952381,,,,,Sign and Trade,$40952381
57,Julius Randle\randlju01,NYK,$19800000,$23760000,$25660800,$27561600,$29462400,,Cap Space,$96782400
58,Fred VanVleet\vanvlfr01,TOR,$19675926,$21250000,$22824074,,,,Bird,$40925926
59,Zach LaVine\lavinza01,CHI,$19500000,,,,,,Cap space,$19500000
60,Goran Dragić\dragigo01,SAS,$20168742,,,,,,,$19440000
61,Bojan Bogdanović\bogdabo02,UTA,$18700000,$19550000,,,,,Cap Space,$38250000
62,Lonzo Ball\balllo01,CHI,$18604651,$19534884,$20465117,$21395348,,,Sign and Trade,$58604652
63,Domantas Sabonis\sabondo01,SAC,$18562500,$19937500,$21312500,,,,1st Round pick,$59812500
64,Eric Gordon\gordoer01,HOU,$18218818,$19568360,$20917902,,,,Cap Space,$37787178
65,Evan Fournier\fournev01,NYK,$18139535,$19046512,$19953488,$20860465,,,Sign and Trade,$57139535
66,Eric Bledsoe\bledser01,POR,$18125000,$19375000,,,,,Bird Rights,$22025000
67,Myles Turner\turnemy01,IND,$18000000,$18000000,,,,,1st Round pick,$36000000
68,Bogdan Bogdanović\bogdabo01,ATL,$18000000,$18000000,$18000000,,,,Cap Space,$36000000
69,Terry Rozier\roziete01,CHO,$17905263,$21486316,$23205221,$24924126,$26643031,,Sign and Trade,$114163957
70,Ricky Rubio\rubiori01,IND,$17809524,,,,,,Cap Space,$17809524
71,Caris LeVert\leverca01,CLE,$17500000,$18796296,,,,,1st Round pick,$36296296
72,Jonathan Isaac\isaacjo01,ORL,$17400000,$17400000,$17400000,$17400000,,,Bird,$69600000
