Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
266,Jaren Jackson Jr.\jacksja02,PF,22,MEM,69,69,27.5,5.6,13.4,.417,1.6,5.1,.314,4.0,8.3,.482,.477,3.6,4.5,.808,1.6,4.3,5.9,1.0,1.0,2.2,1.6,3.5,16.4
267,Josh Jackson\jacksjo02,SF,24,TOT,44,3,16.4,2.4,5.9,.403,0.7,2.7,.256,1.7,3.2,.525,.461,1.0,1.3,.724,0.4,2.5,2.8,1.1,0.5,0.4,0.9,1.7,6.4
267,Josh Jackson\jacksjo02,SF,24,DET,39,3,18.1,2.6,6.4,.410,0.8,2.9,.265,1.9,3.5,.529,.470,1.0,1.4,.714,0.4,2.7,3.2,1.3,0.5,0.5,1.0,1.8,7.1
267,Josh Jackson\jacksjo02,SF,24,SAC,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.4,0.4,1.000,0.0,0.4,0.4,0.2,0.2,0.2,0.6,0.8,0.8
268,Justin Jackson\jacksju01,SF,26,TOT,7,0,5.3,0.7,2.1,.333,0.4,1.3,.333,0.3,0.9,.333,.433,0.3,0.3,1.000,0.1,0.9,1.0,0.3,0.0,0.0,0.1,0.4,2.1
268,Justin Jackson\jacksju01,SF,26,BOS,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
268,Justin Jackson\jacksju01,SF,26,PHO,6,0,5.8,0.8,2.3,.357,0.5,1.5,.333,0.3,0.8,.400,.464,0.0,0.0,,0.2,1.0,1.2,0.3,0.0,0.0,0.2,0.5,2.2
269,Reggie Jackson\jacksre01,SG,31,LAC,67,67,31.3,6.5,16.4,.396,2.3,7.0,.335,4.1,9.4,.441,.467,1.9,2.2,.832,0.6,3.2,3.7,4.9,0.7,0.2,2.3,2.0,17.1
270,LeBron James\jamesle01,SF,37,LAL,51,51,36.9,11.1,21.3,.520,2.8,8.0,.357,8.2,13.4,.617,.586,4.5,6.0,.760,1.1,7.0,8.1,6.2,1.4,1.1,3.5,2.2,29.5
271,DeJon Jarreau\jarrede01,SG,24,IND,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,0,3.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,0.7
273,Ty Jerome\jeromty01,SG,24,OKC,48,4,16.7,2.6,6.8,.378,1.1,3.9,.290,1.5,3.0,.493,.460,0.8,1.0,.809,0.4,1.2,1.6,2.3,0.6,0.1,0.8,1.5,7.1
274,Isaiah Joe\joeis01,SG,22,PHI,48,1,11.6,1.1,3.3,.350,0.8,2.5,.331,0.3,0.8,.417,.478,0.5,0.5,.923,0.1,0.9,1.0,0.7,0.3,0.1,0.3,0.9,3.6
275,Alize Johnson\johnsal02,PF,25,TOT,23,0,7.3,0.7,1.7,.436,0.0,0.2,.000,0.7,1.5,.486,.436,0.3,0.5,.583,1.2,1.4,2.7,0.4,0.2,0.0,0.5,0.8,1.8
275,Alize Johnson\johnsal02,PF,25,CHI,16,0,7.6,0.8,1.4,.522,0.0,0.1,.000,0.8,1.3,.571,.522,0.3,0.4,.571,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8
275,Alize Johnson\johnsal02,PF,25,WAS,3,0,6.0,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3
275,Alize Johnson\johnsal02,PF,25,NOP,4,0,7.0,0.8,2.5,.300,0.0,0.0,,0.8,2.5,.300,.300,0.8,1.0,.750,1.8,1.5,3.3,0.3,0.5,0.0,0.3,0.8,2.3
