Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
323,Saben Lee\leesa01,PG,22,DET,31,0,14.9,1.7,4.4,.380,0.4,1.5,.267,1.3,3.0,.435,.423,1.1,1.5,.778,0.4,1.9,2.3,2.3,0.8,0.4,0.8,0.9,4.9
324,Alex Len\lenal01,C,28,SAC,35,10,16.4,2.4,4.6,.525,0.2,0.6,.300,2.3,4.1,.556,.543,1.1,1.7,.638,1.4,3.0,4.4,1.2,0.3,0.7,1.2,2.7,6.1
325,Caris LeVert\leverca01,SG,27,TOT,45,40,30.8,6.9,15.7,.443,1.5,4.6,.317,5.5,11.0,.495,.489,2.6,3.4,.760,0.7,2.9,3.6,4.4,0.9,0.4,1.8,2.2,17.9
325,Caris LeVert\leverca01,SG,27,IND,39,39,31.1,7.1,15.9,.447,1.6,4.8,.323,5.6,11.1,.501,.496,2.8,3.7,.760,0.8,3.1,3.8,4.4,0.9,0.5,1.9,2.3,18.7
325,Caris LeVert\leverca01,SG,27,CLE,6,1,29.0,5.7,13.8,.410,0.8,3.2,.263,4.8,10.7,.453,.440,1.0,1.3,.750,0.5,1.8,2.3,4.2,1.0,0.3,1.3,1.7,13.2
326,Kira Lewis Jr.\lewiski01,PG,20,NOP,24,0,14.2,2.5,6.1,.404,0.5,2.4,.224,1.9,3.7,.523,.449,0.4,0.5,.833,0.4,1.3,1.6,2.0,0.5,0.0,1.1,0.7,5.9
327,Scottie Lewis\lewissc01,SG,21,CHO,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
328,Damian Lillard\lillada01,PG,31,POR,29,29,36.4,7.7,19.0,.402,3.2,9.8,.324,4.5,9.2,.485,.486,5.5,6.2,.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0
329,Nassir Little\littlna01,SF,21,POR,42,23,25.9,3.5,7.5,.460,1.2,3.7,.331,2.2,3.8,.584,.541,1.6,2.2,.734,1.4,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.8
330,Isaiah Livers\liveris01,SF,23,DET,10,0,15.2,1.8,3.9,.462,1.3,2.9,.448,0.5,1.0,.500,.628,0.0,0.0,,1.0,1.3,2.3,0.8,0.5,0.3,0.5,1.5,4.9
331,Kevon Looney\looneke01,C,25,GSW,70,70,21.7,2.7,4.7,.566,0.0,0.0,.000,2.7,4.7,.568,.566,1.0,1.6,.609,2.7,4.9,7.6,2.0,0.7,0.7,0.9,2.7,6.4
332,Brook Lopez\lopezbr01,C,33,MIL,3,1,19.3,1.7,5.7,.294,1.3,3.3,.400,0.3,2.3,.143,.412,1.0,1.3,.750,1.0,1.7,2.7,0.3,0.7,1.0,0.3,3.7,5.7
333,Robin Lopez\lopezro01,C,33,ORL,28,9,17.4,3.3,5.9,.567,0.1,0.2,.400,3.3,5.7,.572,.573,0.9,1.5,.595,2.0,1.7,3.7,1.6,0.0,0.6,1.3,1.9,7.6
334,Didi Louzada\louzama01,SF,22,NOP,2,0,3.5,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
335,Kevin Love\loveke01,PF,33,CLE,61,3,22.2,4.3,10.3,.421,2.4,6.2,.388,1.9,4.1,.470,.538,2.6,3.0,.853,1.1,6.1,7.2,2.1,0.3,0.2,1.3,1.2,13.7
336,Kyle Lowry\lowryky01,PG,35,MIA,53,53,34.2,4.1,9.8,.416,2.0,5.9,.347,2.1,4.0,.517,.519,2.4,2.8,.853,0.5,4.1,4.7,7.8,1.1,0.3,2.9,2.7,12.6
337,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,41,12,11.6,1.3,3.4,.384,0.8,2.3,.366,0.5,1.1,.422,.507,0.5,0.5,.864,0.2,1.0,1.3,0.6,0.3,0.1,0.3,1.2,3.9
338,Trey Lyles\lylestr01,PF,26,TOT,64,12,19.4,3.4,7.2,.473,0.8,2.7,.312,2.6,4.5,.569,.531,2.4,3.1,.784,1.2,3.7,4.9,1.1,0.4,0.5,1.0,1.7,10.1
338,Trey Lyles\lylestr01,PF,26,DET,51,3,19.4,3.4,7.5,.456,0.9,2.9,.301,2.6,4.7,.550,.513,2.7,3.5,.784,1.2,3.6,4.8,1.1,0.4,0.5,1.1,1.8,10.4
338,Trey Lyles\lylestr01,PF,26,SAC,13,9,19.4,3.3,5.9,.558,0.8,2.1,.370,2.5,3.8,.660,.623,1.4,1.8,.783,1.4,3.9,5.3,0.8,0.2,0.2,0.8,1.5,8.8
339,Théo Maledon\maledth01,PG,20,OKC,42,2,15.8,1.7,5.0,.330,0.7,2.6,.264,1.0,2.4,.402,.399,1.2,1.6,.776,0.4,1.7,2.1,1.7,0.5,0.1,1.0,1.2,5.3
340,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,36,2,9.1,1.2,2.4,.477,0.5,1.2,.429,0.7,1.3,.522,.580,0.3,0.4,.786,0.8,1.0,1.8,0.4,0.2,0.2,0.3,0.6,3.1
341,Terance Mann\mannte01,SF,25,LAC,71,31,29.0,4.1,8.6,.478,1.0,2.7,.365,3.1,5.9,.528,.534,1.4,1.8,.767,1.3,4.2,5.5,2.5,0.7,0.2,1.0,2.3,10.6
342,Tre Mann\manntr01,PG,20,OKC,55,22,22.0,3.5,9.1,.380,1.4,4.1,.345,2.1,5.0,.409,.458,1.0,1.3,.778,0.4,2.2,2.6,1.5,0.8,0.2,1.1,1.7,9.4
343,Boban Marjanović\marjabo01,C,33,DAL,19,0,5.3,1.9,3.1,.621,0.1,0.2,.333,1.8,2.9,.636,.629,0.4,0.8,.500,0.4,1.2,1.6,0.1,0.0,0.1,0.6,1.1,4.3
344,Lauri Markkanen\markkla01,PF,24,CLE,48,48,30.7,5.0,11.5,.434,2.1,6.0,.346,2.9,5.5,.531,.525,2.1,2.4,.853,1.0,4.5,5.5,1.4,0.8,0.5,0.9,1.8,14.1
345,Naji Marshall\marshna01,SF,24,NOP,42,2,11.9,1.7,4.4,.392,0.4,2.0,.195,1.4,2.5,.548,.435,1.1,1.5,.762,0.7,1.8,2.5,1.0,0.6,0.1,0.8,1.0,5.0
346,Caleb Martin\martica02,SF,26,MIA,52,10,22.8,3.6,7.0,.515,1.0,2.6,.396,2.6,4.4,.585,.588,1.2,1.6,.756,1.3,2.7,4.0,1.1,1.0,0.5,0.8,1.6,9.4
347,Cody Martin\martico01,SF,26,CHO,59,11,26.7,2.9,6.3,.469,0.9,2.4,.403,2.0,3.9,.509,.544,1.2,1.7,.699,1.1,2.8,4.0,2.4,1.3,0.5,0.9,1.8,8.1
348,Kelan Martin\martike03,SF,26,TOT,30,1,15.0,2.3,5.7,.409,0.7,2.5,.293,1.6,3.2,.500,.474,0.3,0.4,.692,0.6,1.3,1.8,0.7,0.4,0.3,0.5,1.2,5.7
348,Kelan Martin\martike03,SF,26,IND,27,1,16.4,2.6,6.2,.417,0.8,2.7,.297,1.8,3.5,.511,.482,0.3,0.5,.692,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
348,Kelan Martin\martike03,SF,26,BOS,3,0,2.0,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
349,Kenyon Martin Jr.\martike04,SF,21,HOU,66,2,20.8,3.6,6.7,.530,0.7,2.0,.348,2.9,4.7,.610,.583,1.0,1.6,.635,1.0,2.9,3.9,1.4,0.4,0.4,0.8,1.3,8.9
350,Garrison Mathews\mathega01,SG,25,HOU,52,23,26.9,3.0,7.4,.408,2.3,6.2,.364,0.8,1.3,.621,.559,2.4,3.0,.801,0.5,2.6,3.1,1.0,0.8,0.3,0.7,2.7,10.7
351,Dakota Mathias\mathida01,SG,26,MEM,6,0,2.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0
352,Wesley Matthews\matthwe02,SG,35,MIL,39,6,19.6,1.7,4.4,.378,1.0,3.2,.323,0.6,1.2,.521,.494,0.4,0.5,.737,0.6,1.4,2.0,0.7,0.5,0.1,0.4,1.8,4.7
353,Tyrese Maxey\maxeyty01,PG,21,PHI,61,60,35.8,6.4,13.3,.483,1.6,3.8,.412,4.9,9.5,.511,.542,2.9,3.4,.861,0.3,3.1,3.4,4.3,0.7,0.4,1.1,2.1,17.4
354,Skylar Mays\mayssk01,SG,24,ATL,24,5,8.8,1.3,2.6,.516,0.3,1.0,.320,1.0,1.5,.649,.581,0.3,0.4,.889,0.2,0.8,1.0,0.7,0.3,0.0,0.4,0.3,3.3
355,Miles McBride\mcbrimi01,PG,21,NYK,30,2,8.8,0.7,2.5,.270,0.3,1.4,.195,0.4,1.1,.364,.324,0.2,0.3,.700,0.1,0.8,0.9,1.1,0.4,0.0,0.2,1.1,1.8
356,Mac McClung\mccluma01,PG,23,CHI,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
357,CJ McCollum\mccolcj01,SG,30,TOT,49,49,35.2,8.7,18.9,.462,3.1,7.9,.389,5.6,11.0,.514,.543,1.6,2.4,.690,1.0,3.6,4.6,5.1,1.0,0.4,2.1,2.1,22.1
357,CJ McCollum\mccolcj01,SG,30,POR,36,36,35.2,8.1,18.5,.436,3.1,8.0,.384,5.0,10.4,.476,.520,1.3,1.9,.706,0.9,3.3,4.3,4.5,1.0,0.6,1.9,2.1,20.5
357,CJ McCollum\mccolcj01,SG,30,NOP,13,13,35.4,10.5,20.0,.527,3.1,7.6,.404,7.5,12.4,.602,.604,2.5,3.7,.667,1.0,4.5,5.5,6.8,1.1,0.0,2.4,1.8,26.6
358,T.J. McConnell\mccontj01,PG,29,IND,24,6,24.2,3.8,7.5,.503,0.3,1.0,.280,3.5,6.5,.538,.522,0.5,0.6,.800,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
359,Jaden McDaniels\mcdanja02,PF,21,MIN,67,31,26.1,3.7,8.1,.459,1.1,3.7,.313,2.6,4.4,.582,.531,0.8,1.0,.800,1.1,3.1,4.3,1.1,0.8,0.8,1.1,3.3,9.4
360,Jalen McDaniels\mcdanja01,SF,24,CHO,43,2,17.2,2.3,4.9,.476,0.7,2.1,.352,1.6,2.8,.571,.552,0.8,1.2,.700,0.7,2.6,3.3,1.0,0.5,0.4,0.7,1.7,6.2
361,Doug McDermott\mcderdo01,PF,30,SAS,51,51,24.0,4.2,9.1,.462,2.1,5.0,.422,2.1,4.1,.512,.578,0.8,1.0,.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3
362,JaVale McGee\mcgeeja01,C,34,PHO,64,14,15.7,4.0,6.3,.635,0.0,0.1,.250,4.0,6.2,.643,.638,1.4,1.9,.702,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,9.4
363,Cameron McGriff\mcgrica01,SF,24,POR,3,0,15.3,1.7,4.7,.357,0.7,2.0,.333,1.0,2.7,.375,.429,0.7,0.7,1.000,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7
364,Rodney McGruder\mcgruro01,SG,30,DET,42,2,13.8,1.7,3.8,.441,1.0,2.5,.417,0.7,1.4,.483,.575,0.3,0.5,.700,0.5,1.4,2.0,0.8,0.4,0.1,0.4,1.0,4.7
365,Alfonzo McKinnie\mckinal01,SF,29,CHI,17,3,12.1,1.4,3.6,.393,0.5,1.6,.333,0.9,2.0,.441,.467,0.1,0.5,.250,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
366,JaQuori McLaughlin\mclauja01,PG,24,DAL,4,0,2.8,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
367,Jordan McLaughlin\mclaujo01,PG,25,MIN,51,3,13.7,1.2,3.1,.385,0.3,1.2,.230,0.9,1.9,.484,.429,0.5,0.7,.743,0.3,1.2,1.5,2.9,0.9,0.1,0.6,0.7,3.1
368,Ben McLemore\mclembe01,SG,28,POR,50,6,18.6,2.8,7.6,.376,2.1,6.0,.352,0.7,1.6,.463,.515,0.8,1.0,.816,0.2,1.3,1.5,0.9,0.4,0.1,0.8,1.6,8.6
369,De'Anthony Melton\meltode01,SG,23,MEM,61,13,22.5,3.6,9.3,.385,1.6,4.7,.337,2.0,4.6,.435,.471,1.1,1.6,.726,0.9,3.5,4.4,2.7,1.6,0.6,1.5,1.7,9.9
370,Sam Merrill\merrisa01,SG,25,MEM,6,0,9.7,1.3,4.0,.333,1.2,3.8,.304,0.2,0.2,1.000,.479,0.3,0.7,.500,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
371,Chimezie Metu\metuch01,C,24,SAC,49,20,20.9,3.3,7.3,.447,0.9,3.2,.290,2.4,4.2,.566,.510,1.1,1.4,.775,0.6,4.9,5.5,1.1,0.8,0.5,0.9,1.5,8.6
372,Khris Middleton\middlkh01,SF,30,MIL,58,58,32.5,6.9,15.5,.447,2.5,6.5,.380,4.5,9.0,.496,.527,4.1,4.6,.892,0.6,4.7,5.3,5.4,1.1,0.3,2.9,2.4,20.5
373,C.J. Miles\milescj01,SG,34,BOS,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
374,Patty Mills\millspa02,PG,33,BRK,69,46,30.0,4.4,10.5,.418,3.0,7.3,.414,1.3,3.2,.427,.562,0.6,0.8,.811,0.2,1.7,2.0,2.4,0.7,0.2,0.9,1.4,12.4
375,Paul Millsap\millspa01,PF,36,TOT,31,0,11.1,1.4,3.5,.394,0.3,1.1,.235,1.1,2.4,.467,.431,0.5,0.7,.696,1.3,2.3,3.5,0.9,0.3,0.4,0.5,2.0,3.5
375,Paul Millsap\millspa01,PF,36,BRK,24,0,11.3,1.3,3.5,.376,0.3,1.1,.222,1.1,2.4,.448,.412,0.5,0.7,.706,1.2,2.5,3.7,1.0,0.2,0.5,0.5,2.0,3.4
375,Paul Millsap\millspa01,PF,36,PHI,7,0,10.4,1.6,3.4,.458,0.3,1.0,.286,1.3,2.4,.529,.500,0.6,0.9,.667,1.6,1.4,3.0,0.6,0.4,0.1,0.9,1.9,4.0
376,Shake Milton\miltosh01,PG,25,PHI,41,6,21.9,3.2,7.7,.415,0.7,2.4,.293,2.5,5.3,.470,.460,1.2,1.4,.862,0.6,2.1,2.7,2.4,0.6,0.3,1.0,1.9,8.3
377,Davion Mitchell\mitchda01,PG,23,SAC,64,8,25.6,4.2,10.3,.410,1.3,4.3,.316,2.9,6.0,.477,.476,0.4,0.8,.549,0.5,1.7,2.2,3.3,0.7,0.3,1.2,1.9,10.2
378,Donovan Mitchell\mitchdo01,SG,25,UTA,57,57,33.6,9.2,20.5,.451,3.5,9.9,.359,5.7,10.6,.536,.537,3.7,4.4,.841,0.8,3.3,4.1,5.5,1.5,0.2,3.0,2.5,25.7
379,Evan Mobley\mobleev01,PF,20,CLE,61,61,34.2,6.1,12.1,.505,0.4,1.4,.259,5.8,10.7,.538,.520,2.5,3.7,.677,2.0,6.3,8.3,2.6,0.8,1.7,2.0,2.2,15.1
380,Malik Monk\monkma01,SG,23,LAL,63,28,27.6,4.8,10.3,.464,2.2,5.7,.394,2.6,4.7,.549,.572,1.1,1.4,.767,0.5,2.9,3.4,2.7,0.8,0.4,1.4,1.8,12.9
381,Greg Monroe\monrogr01,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5
381,Greg Monroe\monrogr01,C,31,MIN,3,0,21.0,3.0,4.7,.643,0.0,0.0,,3.0,4.7,.643,.643,0.7,1.7,.400,1.7,5.3,7.0,3.7,0.7,1.3,1.3,2.3,6.7
381,Greg Monroe\monrogr01,C,31,WAS,2,0,9.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
381,Greg Monroe\monrogr01,C,31,MIL,5,0,14.0,2.2,4.4,.500,0.0,0.0,,2.2,4.4,.500,.500,1.0,1.8,.556,2.2,2.0,4.2,0.4,0.6,0.4,0.6,1.4,5.4
382,Moses Moody\moodymo01,SG,19,GSW,45,9,11.8,1.5,3.6,.431,0.8,2.2,.347,0.8,1.4,.565,.538,0.6,0.8,.794,0.4,1.3,1.7,0.4,0.1,0.2,0.3,0.8,4.4
383,Xavier Moon\moonxa01,SG,27,LAC,6,0,13.8,2.3,5.7,.412,0.5,1.7,.300,1.8,4.0,.458,.456,0.3,0.5,.667,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5
384,Matt Mooney\moonema01,SG,24,NYK,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
385,Ja Morant\moranja01,PG,22,MEM,55,55,33.3,10.2,20.7,.493,1.6,4.6,.341,8.7,16.1,.536,.531,5.5,7.3,.762,1.3,4.4,5.8,6.7,1.2,0.4,3.4,1.5,27.5
386,Juwan Morgan\morgaju01,PF,24,TOR,1,0,27.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
387,Jaylen Morris\morrija01,SG,26,SAS,3,0,5.3,0.0,2.0,.000,0.0,0.7,.000,0.0,1.3,.000,.000,0.7,1.3,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
388,Marcus Morris\morrima03,PF,32,LAC,46,46,29.7,5.9,13.3,.442,2.0,5.2,.388,3.8,8.1,.477,.518,2.5,2.8,.883,0.5,4.1,4.7,2.2,0.5,0.3,1.3,2.3,16.2
389,Markieff Morris\morrima02,PF,32,MIA,12,0,18.4,3.2,6.9,.458,0.8,2.2,.346,2.4,4.8,.509,.512,0.6,0.6,1.000,1.2,1.8,3.0,1.3,0.3,0.1,1.5,2.1,7.7
390,Monte Morris\morrimo01,PG,26,DEN,64,63,30.0,5.2,10.6,.489,1.7,4.3,.389,3.5,6.3,.557,.568,0.9,1.1,.845,0.3,2.6,3.0,4.3,0.7,0.2,1.0,1.2,13.0
391,Emmanuel Mudiay\mudiaem01,PG,25,SAC,2,0,5.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
392,Mychal Mulder\muldemy01,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
393,Ade Murkey\murkead01,SG,24,SAC,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Trey Murphy III\murphtr02,SF,21,NOP,49,0,12.8,1.5,3.9,.380,1.0,2.7,.366,0.5,1.2,.414,.508,0.6,0.7,.829,0.7,1.5,2.2,0.6,0.3,0.1,0.2,1.0,4.6
395,Dejounte Murray\murrade01,PG,25,SAS,61,61,34.7,8.5,18.2,.464,1.3,4.1,.316,7.2,14.1,.506,.499,2.7,3.4,.786,1.2,7.1,8.4,9.4,2.1,0.3,2.6,2.1,20.9
396,Mike Muscala\muscami01,C,30,OKC,43,0,13.8,2.6,5.8,.456,1.6,3.8,.429,1.0,2.0,.506,.597,1.1,1.3,.842,0.5,2.5,3.0,0.5,0.4,0.6,0.3,1.3,8.0
397,Svi Mykhailiuk\mykhasv01,SF,24,TOR,51,5,13.6,1.7,4.4,.393,0.7,2.5,.302,1.0,1.9,.510,.478,0.6,0.7,.853,0.4,1.4,1.8,0.8,0.5,0.1,0.5,1.0,4.8
398,Abdel Nader\naderab01,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
399,Larry Nance Jr.\nancela02,PF,29,POR,37,11,23.2,2.8,5.4,.515,0.5,1.7,.306,2.2,3.7,.610,.563,0.9,1.3,.653,1.6,4.1,5.6,2.0,1.0,0.4,0.7,1.8,6.9
400,RJ Nembhard Jr.\nembhrj01,SG,22,CLE,10,0,5.4,0.6,1.5,.400,0.0,0.2,.000,0.6,1.3,.462,.400,0.3,0.4,.750,0.2,0.3,0.5,1.1,0.0,0.0,0.2,0.2,1.5
401,Aaron Nesmith\nesmiaa01,SF,22,BOS,45,2,10.5,1.2,3.4,.366,0.5,2.1,.242,0.7,1.3,.569,.441,0.4,0.4,.842,0.3,1.4,1.7,0.4,0.3,0.1,0.6,1.2,3.4
402,Raul Neto\netora01,PG,29,WAS,59,15,20.7,3.1,6.7,.457,0.5,1.8,.280,2.6,4.9,.522,.495,1.2,1.6,.753,0.2,1.8,2.1,3.2,0.8,0.0,1.1,1.6,7.9
403,Malik Newman\newmama01,PG,24,CLE,1,0,8.0,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
404,Georges Niang\niangge01,PF,28,PHI,64,6,23.2,3.3,7.7,.431,2.0,5.2,.394,1.3,2.5,.506,.563,0.8,0.9,.875,0.4,2.3,2.7,1.4,0.4,0.2,0.8,2.6,9.4
405,Daishen Nix\nixda01,SG,19,HOU,13,0,10.0,1.4,2.8,.500,0.4,1.1,.357,1.0,1.7,.591,.569,0.5,0.8,.545,0.2,0.9,1.2,1.6,0.6,0.0,0.9,0.7,3.6
406,Zeke Nnaji\nnajize01,PF,21,DEN,40,1,16.8,2.4,4.4,.537,0.9,1.9,.487,1.5,2.5,.574,.641,1.0,1.6,.613,1.4,2.3,3.6,0.4,0.4,0.3,0.6,1.9,6.6
407,Nerlens Noel\noelne01,C,27,NYK,25,11,22.5,1.3,2.4,.533,0.0,0.1,.000,1.3,2.3,.561,.533,0.8,1.2,.700,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4
408,Jaylen Nowell\nowelja01,SG,22,MIN,52,1,15.4,3.2,6.5,.485,0.9,2.4,.379,2.3,4.1,.547,.555,1.0,1.4,.761,0.4,1.7,2.0,2.2,0.5,0.1,0.6,1.2,8.3
409,Frank Ntilikina\ntilila01,PG,23,DAL,49,5,12.2,1.5,3.9,.375,0.7,2.0,.340,0.8,1.9,.413,.464,0.5,0.5,.958,0.2,1.2,1.3,1.1,0.5,0.1,0.5,1.0,4.1
410,Jusuf Nurkić\nurkiju01,C,27,POR,56,56,28.2,5.7,10.7,.535,0.3,1.0,.268,5.5,9.7,.563,.548,3.3,4.8,.690,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0
411,David Nwaba\nwabada01,SF,29,HOU,44,4,13.4,1.9,4.0,.483,0.3,1.1,.313,1.6,2.9,.548,.526,1.1,1.5,.716,0.9,2.5,3.4,0.8,0.6,0.4,0.5,1.3,5.3
412,Jordan Nwora\nworajo01,SF,23,MIL,54,11,19.2,3.0,7.4,.408,1.3,3.8,.350,1.7,3.6,.467,.496,0.4,0.5,.808,0.6,3.0,3.6,1.0,0.5,0.3,0.9,1.2,7.7
413,Royce O'Neale\onealro01,SF,28,UTA,65,65,31.4,2.8,5.7,.492,1.6,3.8,.416,1.2,1.9,.648,.632,0.6,0.8,.800,0.8,4.1,5.0,2.6,1.2,0.4,1.0,2.4,7.8
414,Semi Ojeleye\ojelese01,PF,27,TOT,27,0,13.7,1.0,3.1,.318,0.5,1.7,.304,0.5,1.4,.333,.400,0.6,0.8,.714,1.0,1.5,2.5,0.3,0.2,0.2,0.3,1.1,3.1
414,Semi Ojeleye\ojelese01,PF,27,MIL,20,0,15.4,0.9,3.5,.257,0.6,2.1,.268,0.4,1.5,.241,.336,0.5,0.7,.769,1.3,1.7,2.9,0.3,0.3,0.3,0.3,1.3,2.9
414,Semi Ojeleye\ojelese01,PF,27,LAC,7,0,8.7,1.3,2.1,.600,0.4,0.7,.600,0.9,1.4,.600,.700,0.7,1.1,.625,0.1,1.1,1.3,0.4,0.0,0.1,0.6,0.4,3.7
415,Chuma Okeke\okekech01,PF,23,ORL,59,12,24.2,3.0,7.9,.381,1.5,4.9,.310,1.5,3.0,.497,.478,0.8,0.9,.855,0.7,4.1,4.7,1.7,1.4,0.6,0.7,1.4,8.4
416,Josh Okogie\okogijo01,SG,23,MIN,41,6,11.1,0.8,2.1,.368,0.3,1.0,.286,0.5,1.1,.444,.437,0.7,1.0,.659,0.6,1.0,1.6,0.5,0.5,0.2,0.5,1.1,2.5
417,Onyeka Okongwu\okongon01,C,21,ATL,35,6,20.9,3.6,5.1,.709,0.0,0.0,,3.6,5.1,.709,.709,1.7,2.3,.744,2.4,3.1,5.5,1.1,0.6,1.3,1.0,3.2,9.0
418,Isaac Okoro\okorois01,SF,21,CLE,54,48,29.4,3.2,6.8,.470,0.8,2.5,.331,2.4,4.3,.552,.531,2.0,2.5,.794,1.1,2.1,3.2,1.8,0.8,0.3,1.0,2.6,9.2
419,KZ Okpala\okpalkz01,PF,22,MIA,21,0,11.6,1.4,3.3,.435,0.4,1.2,.346,1.0,2.0,.488,.500,0.4,0.5,.727,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7
420,Victor Oladipo\oladivi01,SG,29,MIA,4,0,16.3,2.3,5.0,.450,0.5,2.3,.222,1.8,2.8,.636,.500,0.5,0.8,.667,0.0,1.3,1.3,2.8,0.0,0.3,0.3,1.5,5.5
421,Cameron Oliver\oliveca01,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
422,Kelly Olynyk\olynyke01,C,30,DET,32,1,19.2,3.2,7.4,.429,1.0,3.0,.333,2.2,4.4,.493,.496,1.6,2.2,.754,1.5,3.1,4.6,2.7,0.8,0.4,1.5,2.6,9.0
423,Eugene Omoruyi\omorueu01,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
424,Miye Oni\onimi01,SG,24,UTA,16,0,2.8,0.1,0.6,.222,0.1,0.5,.125,0.1,0.1,1.000,.278,0.0,0.1,.000,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3
425,Cedi Osman\osmande01,SF,26,CLE,56,3,23.0,3.8,9.1,.422,2.0,5.7,.355,1.8,3.4,.534,.534,1.3,2.0,.649,0.3,1.8,2.2,2.1,0.9,0.1,1.0,1.9,11.0
426,Daniel Oturu\oturuda01,C,22,TOR,3,0,9.0,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,1.0,1.7,.600,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
427,Kelly Oubre Jr.\oubreke01,SF,26,CHO,64,13,27.6,5.7,13.1,.437,2.7,7.7,.344,3.1,5.4,.571,.539,1.7,2.6,.665,1.1,2.9,4.0,1.2,1.1,0.4,1.0,2.6,15.8
